track,artist,charted,mode,loudness,duration_ms,speechiness,valence,instrumentalness,key,acousticness,time_signature,liveness,tempo,danceability,energy
White Sky,Vampire Weekend,False,1,-5.64,178667,0.0649,0.908,0.00785,9,0.114,4,0.364,135.926,0.572,0.684
Sleep Alone,Two Door Cinema Club,False,1,-4.943,236440,0.043,0.519,0.00226,0,0.000102,4,0.0927,148.008,0.534,0.755
Left Hand Free,alt-J,False,1,-4.465,173631,0.0462,0.802,0.00943,3,0.462,4,0.083,101.99,0.697,0.877
Free,Twin Atlantic,False,0,-3.272,206835,0.152,0.212,0.125,2,9.51e-05,4,0.372,81.208,0.201,0.932
Alone Together,Fall Out Boy,False,1,-3.713,203413,0.0559,0.606,3.74e-05,4,0.0013,4,0.206,90.013,0.552,0.915
Second Chance,Shinedown,False,0,-4.501,222067,0.0333,0.182,0,0,0.00107,4,0.106,100.011,0.46,0.796
Ocean Avenue,Yellowcard,False,0,-3.751,198267,0.0638,0.786,2.83e-05,6,3.43e-05,4,0.0947,173.734,0.486,0.904
I Alone,Live,False,1,-7.282,231133,0.045,0.0992,0.00417,6,0.00228,4,0.372,90.264,0.396,0.817
Through Glass,Stone Sour,False,0,-4.618,282947,0.036,0.434,0,3,0.0417,4,0.389,105.754,0.545,0.753
Shadow of the Day,Linkin Park,False,1,-7.813,290360,0.0292,0.0641,0.0107,11,0.00479,4,0.107,110.007,0.534,0.393
White Winter Hymnal,Fleet Foxes,False,0,-9.054,147027,0.0267,0.649,3.33e-06,6,0.437,4,0.328,124.964,0.629,0.534
Snap Out Of It,Arctic Monkeys,False,0,-6.455,193030,0.0336,0.872,0,5,0.249,4,0.116,130.014,0.728,0.638
More Than This,One Direction,False,1,-4.446,229107,0.0315,0.225,0,0,0.0607,4,0.274,151.809,0.498,0.715
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,False,0,-7.828,353893,0.057,0.674,0.00114,10,0.0839,4,0.0753,100.163,0.832,0.659
Liberate,Eric Prydz,False,1,-5.47,313388,0.0355,0.459,0.837,5,0.0021,4,0.661,127.005,0.509,0.88
Slow Acid,Calvin Harris,False,0,-4.31,219693,0.045,0.0926,0.833,5,0.501,4,0.153,104.049,0.653,0.949
Get Free (feat. Amber of Dirty Projectors),Major Lazer,False,0,-9.366,291162,0.0783,0.802,0.117,11,0.14,4,0.095,175.953,0.525,0.538
Netzwerk (Falls Like Rain),Klangkarussell,False,0,-6.988,232220,0.0378,0.265,5.26e-05,7,0.00374,4,0.152,128.015,0.552,0.71
Bonfire,Knife Party,False,1,-3.029,272078,0.0867,0.589,0.00345,1,0.000117,4,0.353,174.031,0.536,0.944
Holding On,Disclosure,False,1,-5.24,315094,0.353,0.834,0.000231,5,0.172,4,0.357,123.658,0.683,0.805
Bang That,Disclosure,False,1,-6.0,324541,0.0482,0.648,0.678,11,0.000373,4,0.355,125.0,0.729,0.843
Lucky Star,Superfunk,False,1,-7.426,295693,0.0738,0.901,0.000237,6,0.0516,4,0.234,125.857,0.776,0.682
Saving My Life,Gorgon City,False,1,-7.652,215124,0.0637,0.409,5.7e-05,4,0.014,4,0.111,122.961,0.677,0.798
Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer,False,0,-4.043,206327,0.0478,0.732,0,11,0.121,3,0.158,97.479,0.598,0.792
Willing & Able,Disclosure,False,0,-6.874,292760,0.816,0.945,0,5,0.247,4,0.106,199.727,0.525,0.643
